condition easy, random seed 859190
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
324.9251, 0, 0, 0, 0, 0, 0, 1, 0.03200436, 0.848244, 0.3558956, -0.1504005, 0.001333132, -0.0244433, 0.988322, -0.00484705, 1.088564, -0.06476498, 0.0002105392, -0.02763647, 0.01608656, 0.9994886, 0.04283577, 0.8740098, 0.4347936, 0.219628, 0.6725349, 0.1851708, 0.6820353
328.9481, 0, 0, 0, 0, 0, 0, 1, 0.1860758, 0.9589351, 0.1050287, -0.5799809, 0.1019367, -0.04996673, 0.8066812, 0.01778376, 1.079344, -0.07391298, 0.05465067, 0.07905035, 0.01401645, 0.9952728, 0.2141758, 1.034391, 0.1278962, -0.06255755, 0.7417995, -0.1917583, 0.6395692
328.9622, 0, 0, 0, 0, 0, 0, 1, 0.1860629, 0.9589155, 0.105063, -0.5799962, 0.1017883, -0.05002519, 0.8066852, 0.01772201, 1.079375, -0.07389152, 0.05440503, 0.07908076, 0.01365555, 0.9952888, 0.2141498, 1.034374, 0.1279356, -0.06257322, 0.7416945, -0.1917592, 0.6396892
328.9762, 0, 0, 0, 0, 0, 0, 1, 0.1860397, 0.9588975, 0.10514, -0.5798368, 0.1017634, -0.05004202, 0.8068019, 0.01764035, 1.079387, -0.07391787, 0.05442271, 0.07889433, 0.01372917, 0.9953017, 0.2141257, 1.034347, 0.1280445, -0.06243297, 0.7417003, -0.191625, 0.6397364
328.99, 0, 0, 0, 0, 0, 0, 1, 0.186011, 0.9588442, 0.1052895, -0.579492, 0.1017936, -0.04998997, 0.807049, 0.01758599, 1.079402, -0.07395327, 0.05438599, 0.07873329, 0.01384904, 0.9953148, 0.2140973, 1.034274, 0.1282579, -0.0621627, 0.74179, -0.1913055, 0.6397545
329.004, 0, 0, 0, 0, 0, 0, 1, 0.1859796, 0.9587904, 0.1054587, -0.5791117, 0.1017215, -0.05002786, 0.8073287, 0.01754367, 1.079392, -0.07398593, 0.05449658, 0.07862392, 0.01410166, 0.9953138, 0.2140621, 1.034199, 0.128504, -0.0618329, 0.7417974, -0.1909797, 0.6398752
329.0179, 0, 0, 0, 0, 0, 0, 1, 0.185969, 0.9587349, 0.1056434, -0.5786908, 0.1016554, -0.05021187, 0.8076273, 0.01751745, 1.079391, -0.07401001, 0.05458115, 0.07849206, 0.01415352, 0.9953188, 0.2140626, 1.034113, 0.1287745, -0.06137609, 0.7417644, -0.1907172, 0.6400357
329.0317, 0, 0, 0, 0, 0, 0, 1, 0.1859653, 0.9586742, 0.1057216, -0.578607, 0.1015757, -0.05037297, 0.8076874, 0.01749194, 1.079369, -0.07404399, 0.05462577, 0.07843807, 0.01426208, 0.9953191, 0.2140646, 1.034043, 0.1288745, -0.06122515, 0.741678, -0.1907239, 0.6401483
329.0456, 0, 0, 0, 0, 0, 0, 1, 0.1859262, 0.9586402, 0.1057934, -0.5785691, 0.1014851, -0.05043193, 0.8077222, 0.0174365, 1.079331, -0.07408535, 0.05476163, 0.07842994, 0.01424718, 0.9953125, 0.2140199, 1.034007, 0.1289587, -0.06117988, 0.7416133, -0.1906992, 0.6402348
329.0595, 0, 0, 0, 0, 0, 0, 1, 0.18584, 0.9585801, 0.1058936, -0.5784413, 0.1013938, -0.05033006, 0.8078316, 0.01736832, 1.079282, -0.07413602, 0.05475637, 0.07836014, 0.01429104, 0.9953177, 0.2139129, 1.033946, 0.1290867, -0.06115809, 0.7416177, -0.1904917, 0.6402937
