condition medium, random seed 613983
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
256.7926, 0.02286434, 1.012972, 0.6609842, 0.8464507, -0.2050904, 0.3310061, 0.3631722, 0.09406614, 0.8307961, 0.3009709, -0.1489288, -0.01491767, 0.002333385, 0.9887326, 0.004220605, 1.158732, -0.0273484, -0.02124577, 0.07155354, -0.03913263, 0.9964424, 0.1014878, 0.8569074, 0.3801493, 0.1986254, 0.6701089, 0.2082293, 0.6842096
260.8159, 0.0228647, 1.012973, 0.660984, 0.8464547, -0.2050898, 0.3310024, 0.3631667, 0.1130006, 0.883329, 0.1696433, -0.4829867, 0.03473673, -0.007321555, 0.8749079, 0.0131582, 1.156134, -0.0374434, -0.004177062, 0.1346293, -0.03532749, 0.9902573, 0.1285156, 0.9539207, 0.2118593, -0.02764624, 0.7264314, -0.06147127, 0.6839259
260.8302, 0.02286434, 1.012972, 0.6609839, 0.8464506, -0.2050914, 0.3310084, 0.3631698, 0.1134754, 0.8839084, 0.1701491, -0.4836949, 0.03516725, -0.007087963, 0.8745011, 0.01314211, 1.156115, -0.03739738, -0.004047588, 0.1346854, -0.03526134, 0.9902526, 0.1290308, 0.9545686, 0.2122356, -0.02824104, 0.726729, -0.06202947, 0.6835347
260.8441, 0.02286518, 1.012972, 0.6609843, 0.8464534, -0.205084, 0.3310038, 0.3631718, 0.1142032, 0.884567, 0.1708288, -0.48355, 0.0371969, -0.006537948, 0.8745016, 0.01313508, 1.156112, -0.03734422, -0.003821495, 0.1348111, -0.03524178, 0.9902371, 0.1300017, 0.9551978, 0.2128741, -0.02789009, 0.7281461, -0.06220073, 0.6820241
260.8578, 0.0228647, 1.012973, 0.660984, 0.8464516, -0.2050879, 0.3310091, 0.363169, 0.1151829, 0.8853251, 0.1713639, -0.4839911, 0.0404982, -0.006531166, 0.8741109, 0.01317203, 1.156092, -0.03730726, -0.003696566, 0.1346579, -0.03511739, 0.9902628, 0.131448, 0.9559518, 0.2132379, -0.02729988, 0.7301346, -0.06359708, 0.6797894
260.8719, 0.02286422, 1.012972, 0.6609844, 0.8464488, -0.20509, 0.3310084, 0.3631747, 0.116119, 0.8860564, 0.1718731, -0.4842992, 0.04284123, -0.007228078, 0.873823, 0.01319242, 1.156085, -0.03724551, -0.003697491, 0.1347044, -0.03496396, 0.9902619, 0.1327731, 0.9566612, 0.2136307, -0.02643096, 0.7313251, -0.06503536, 0.6784066
260.8856, 0.02286375, 1.012972, 0.660984, 0.8464468, -0.2050931, 0.3310131, 0.3631735, 0.1170534, 0.8868277, 0.1724168, -0.4845425, 0.04536529, -0.00809431, 0.8735531, 0.01320803, 1.156104, -0.03717518, -0.003658171, 0.1347043, -0.035089, 0.9902576, 0.1341358, 0.9573963, 0.2140626, -0.02535236, 0.7325717, -0.06658952, 0.6769505
260.8995, 0.02286422, 1.012972, 0.6609843, 0.8464499, -0.2050921, 0.3310079, 0.3631717, 0.1179831, 0.8876474, 0.1728513, -0.4851106, 0.04768736, -0.009106209, 0.873104, 0.01322269, 1.156109, -0.03711224, -0.00366493, 0.1345707, -0.03520593, 0.9902716, 0.1354759, 0.9582088, 0.2143385, -0.02450228, 0.7336284, -0.06843749, 0.6756518
260.9135, 0.02286422, 1.012972, 0.6609839, 0.8464493, -0.2050906, 0.3310115, 0.3631708, 0.1188581, 0.8884757, 0.173215, -0.4858119, 0.04987377, -0.01015608, 0.8725803, 0.01323771, 1.156108, -0.0370636, -0.003588906, 0.1344479, -0.03531614, 0.9902847, 0.1367444, 0.9590425, 0.214525, -0.02377635, 0.7345792, -0.07037653, 0.6744445
260.9272, 0.02286506, 1.012973, 0.660984, 0.8464524, -0.2050887, 0.33101, 0.363166, 0.1196938, 0.8892957, 0.1735257, -0.4867461, 0.05227056, -0.01096688, 0.8719093, 0.01323235, 1.156086, -0.03701735, -0.003464838, 0.1344702, -0.03531654, 0.9902821, 0.137982, 0.9598915, 0.2146094, -0.02333337, 0.7357123, -0.07242058, 0.6730069
