444.3429, target_contact, target ID 35, grid ID 1, velocity 0.1149513 0.2040476 0.6456091
444.4251, target_spawn, target ID 36, grid ID 8
444.5, target_miss, target ID 34, grid ID 7
444.8143, target_miss, target ID 35, grid ID 1
444.8149, target_spawn, target ID 37, grid ID 0
445.1352, target_spawn, target ID 38, grid ID 7
445.2857, target_hit, target ID 37, grid ID 0, velocity -0.2954903 0.4615595 0.8153993
445.5143, target_miss, target ID 36, grid ID 8
445.6087, target_spawn, target ID 39, grid ID 2
445.8452, target_spawn, target ID 40, grid ID 5
445.9143, target_contact, target ID 38, grid ID 7, velocity 0.1017154 -0.4335384 0.655094
446.2286, target_miss, target ID 38, grid ID 7
446.5554, target_spawn, target ID 41, grid ID 3
446.7, target_miss, target ID 39, grid ID 2
446.9429, target_miss, target ID 40, grid ID 5
447, target_hit, target ID 41, grid ID 3, velocity -0.2006231 -0.4738953 0.945285
447.015, target_spawn, target ID 42, grid ID 0
447.3908, target_spawn, target ID 43, grid ID 6
447.5714, target_hit, target ID 42, grid ID 0, velocity -0.2278875 0.1531689 0.8513492
447.7112, target_spawn, target ID 44, grid ID 7
447.9059, target_spawn, target ID 45, grid ID 3
448.2143, target_contact, target ID 44, grid ID 7, velocity 0.2288388 -0.3566418 0.6280862
448.4857, target_miss, target ID 43, grid ID 6
448.811, target_spawn, target ID 46, grid ID 6
448.8143, target_miss, target ID 44, grid ID 7
449, target_miss, target ID 45, grid ID 3
449.1175, target_spawn, target ID 47, grid ID 4
449.3, target_contact, target ID 46, grid ID 6, velocity -0.1515465 -0.4698472 0.7676097
449.3263, target_spawn, target ID 48, grid ID 5
449.3571, target_contact, target ID 46, grid ID 6, velocity -0.1173661 0.0805133 -0.2281396
449.6143, target_contact, target ID 47, grid ID 4, velocity 0.2548037 0.2626089 0.4451987
449.9, target_miss, target ID 46, grid ID 6
449.9143, target_contact, target ID 48, grid ID 5, velocity 0.1737173 -0.01627038 0.446211
450.2143, target_miss, target ID 47, grid ID 4
450.2173, target_spawn, target ID 49, grid ID 1
450.4286, target_miss, target ID 48, grid ID 5
450.5377, target_spawn, target ID 50, grid ID 6
450.6857, target_contact, target ID 49, grid ID 1, velocity 0.0535697 0.7705759 0.6991266
450.7714, target_contact, target ID 49, grid ID 1, velocity 0.1946676 0.4116533 -0.412917
450.7883, target_spawn, target ID 51, grid ID 3
451.3143, target_miss, target ID 49, grid ID 1
451.3286, target_contact, target ID 51, grid ID 3, velocity -0.1969404 0.191125 0.4735913
451.6286, target_miss, target ID 50, grid ID 6
451.6375, target_spawn, target ID 52, grid ID 4
451.8857, target_miss, target ID 51, grid ID 3
451.9439, target_spawn, target ID 53, grid ID 5
452.0572, target_contact, target ID 52, grid ID 4, velocity 0.1895784 0.1374584 0.6055233
452.1286, target_contact, target ID 52, grid ID 4, velocity -0.07107517 0.2753882 -0.2731584
452.2085, target_spawn, target ID 54, grid ID 8
452.7286, target_miss, target ID 52, grid ID 4
453.0439, target_spawn, target ID 55, grid ID 0
453.0572, target_miss, target ID 53, grid ID 5
453.3143, target_miss, target ID 54, grid ID 8
453.3919, target_spawn, target ID 56, grid ID 2
453.5, target_hit, target ID 55, grid ID 0, velocity -0.2558798 1.008625 0.9881731
453.6147, target_spawn, target ID 57, grid ID 8
453.8374, target_spawn, target ID 58, grid ID 0
453.8714, target_contact, target ID 56, grid ID 2, velocity 0.9197066 0.1329118 0.741847
453.9572, target_contact, target ID 56, grid ID 2, velocity 0.09883658 0.1457889 -0.2789716
454.4857, target_miss, target ID 56, grid ID 2
454.7143, target_miss, target ID 57, grid ID 8
454.8121, target_spawn, target ID 59, grid ID 2
