condition high, random seed 91922
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, 0.258819, 0, 0, -0.9659259, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, 0.258819, 0, 0, -0.9659259, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0.09999999, 0, 0, 0, 0, 0, 0, 1, 0.2076975, 0.3646668, 0.1293291, -0.3272712, 0.02245581, 0.1525015, -0.9322729, 0.001594089, 1.169761, 0.1387118, 0.258819, 0, 0, -0.9659259, 0.2058261, 0.3127628, 0.1949688, -0.5820788, -0.4387944, -0.4002011, -0.5554124
0.15, 0, 0, 0, 0, 0, 0, 1, 0.2116026, 0.4088729, 0.2177226, -0.2385406, 0.137758, 0.05004947, -0.9600084, 0.001594121, 1.16971, 0.1387298, 0.258819, 0, 0, -0.9659259, 0.1971981, 0.3717879, 0.2913657, -0.4335023, -0.4408435, -0.4518861, -0.6430644
0.2, 0, 0, 0, 0, 0, 0, 1, 0.2057172, 0.5246732, 0.3243084, -0.05911725, 0.2007136, -0.02534212, -0.9775362, 0.001594126, 1.169722, 0.1387078, 0.258819, 0, 0, -0.9659259, 0.1823619, 0.5160947, 0.4042274, -0.2571412, -0.4888241, -0.4092296, -0.7262648
0.25, 0, 0, 0, 0, 0, 0, 1, 0.1948627, 0.6971641, 0.3807167, 0.1459066, 0.2164879, -0.09527566, -0.9606075, 0.001594127, 1.16973, 0.1386964, 0.258819, 0, 0, -0.9659259, 0.1666203, 0.7210045, 0.4558173, -0.07173087, -0.5508372, -0.3220074, -0.7666449
0.3, 0, 0, 0, 0, 0, 0, 1, 0.1685271, 0.8673, 0.368518, 0.3367099, 0.2159846, -0.1671738, -0.9011271, 0.001594127, 1.169702, 0.13873, 0.258819, 0, 0, -0.9659259, 0.1350265, 0.9173306, 0.4266622, 0.1138648, -0.5922508, -0.2274122, -0.7645637
0.35, 0, 0, 0, 0, 0, 0, 1, 0.1553843, 0.9728738, 0.347411, 0.4623647, 0.1885385, -0.2588969, -0.826828, 0.001594127, 1.169683, 0.1387542, 0.258819, 0, 0, -0.9659259, 0.1170676, 1.034995, 0.3883856, 0.2670241, -0.6277234, -0.174608, -0.7100519
0.4, 0, 0, 0, 0, 0, 0, 1, 0.154267, 1.032961, 0.3770708, 0.5151029, 0.1674591, -0.3923554, -0.743427, 0.001594127, 1.169681, 0.1387558, 0.258819, 0, 0, -0.9659259, 0.1056404, 1.093455, 0.4084072, 0.405145, -0.6439879, -0.1943551, -0.6191634
0.45, 0, 0, 0, 0, 0, 0, 1, 0.1611255, 1.108224, 0.4325725, 0.5140452, 0.1409391, -0.5085656, -0.6762061, 0.001594127, 1.169701, 0.1387321, 0.258819, 0, 0, -0.9659259, 0.1053584, 1.162278, 0.4637857, 0.4913744, -0.6526721, -0.2408307, -0.5239953
