condition high, random seed 825584
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
447.526, 0, 0, 0, 0, 0, 0, 1, 0.06249046, 0.8603387, 0.2065617, 0.01721014, 0.002452297, -0.07383915, 0.9971187, -0.07346892, 1.20663, -0.09011757, 0.03171557, 0.0114511, 0.005589217, 0.9994158, 0.07275242, 0.8576036, 0.2895877, 0.3611436, 0.6134535, 0.2634825, 0.6510203
451.5495, 0, 0, 0, 0, 0, 0, 1, 0.1421064, 1.204573, 0.006101727, -0.6392473, 0.09321263, 0.02075472, 0.7630489, -0.03652024, 1.258048, -0.1707197, -0.1821537, 0.1159192, -0.02672076, 0.9760476, 0.1612305, 1.285385, 0.01658265, -0.1615331, 0.7475297, -0.1951825, 0.6140116
451.5636, 0, 0, 0, 0, 0, 0, 1, 0.1417649, 1.20465, 0.006199241, -0.639551, 0.0920072, 0.02201199, 0.7629054, -0.0365721, 1.258097, -0.1706222, -0.1823938, 0.1161548, -0.02639261, 0.9759836, 0.1606019, 1.285532, 0.01665498, -0.1629394, 0.7471417, -0.1942539, 0.6144067
451.5776, 0, 0, 0, 0, 0, 0, 1, 0.1416781, 1.204675, 0.006314754, -0.6393538, 0.09141082, 0.02232238, 0.7631334, -0.03660023, 1.258081, -0.1704878, -0.1821084, 0.1162067, -0.02614894, 0.9760373, 0.1604131, 1.285573, 0.01683544, -0.1631232, 0.7469424, -0.1936802, 0.6147813
451.5914, 0, 0, 0, 0, 0, 0, 1, 0.1415879, 1.20478, 0.00646317, -0.6390038, 0.09106994, 0.02234774, 0.7634664, -0.03660285, 1.258047, -0.1703305, -0.1820505, 0.1162718, -0.02600548, 0.9760442, 0.1602852, 1.285675, 0.01707311, -0.1629182, 0.746841, -0.193236, 0.6150984
451.6052, 0, 0, 0, 0, 0, 0, 1, 0.1415683, 1.204883, 0.006442785, -0.6388016, 0.09121452, 0.02199383, 0.7636287, -0.03661287, 1.258042, -0.1701647, -0.1819692, 0.1162716, -0.02584937, 0.9760635, 0.1603252, 1.285758, 0.01709343, -0.1624697, 0.7468691, -0.193327, 0.6151544
451.6191, 0, 0, 0, 0, 0, 0, 1, 0.1415528, 1.204997, 0.006405234, -0.6390688, 0.09132314, 0.02131467, 0.7634114, -0.03665137, 1.258039, -0.1700097, -0.1820578, 0.1163859, -0.02572365, 0.9760367, 0.160393, 1.28586, 0.0170027, -0.1622376, 0.7466738, -0.1940295, 0.6152318
451.6329, 0, 0, 0, 0, 0, 0, 1, 0.1414449, 1.205156, 0.006282687, -0.639663, 0.09057922, 0.01970424, 0.7630454, -0.03669143, 1.258068, -0.1698308, -0.182129, 0.1164512, -0.02566565, 0.9760172, 0.1603637, 1.286011, 0.01680727, -0.1619184, 0.7456559, -0.1953219, 0.6161405
451.6469, 0, 0, 0, 0, 0, 0, 1, 0.1412091, 1.205281, 0.006228089, -0.6401013, 0.09004235, 0.01902527, 0.7627587, -0.03671288, 1.258076, -0.1696465, -0.1820777, 0.1165837, -0.02569099, 0.9760103, 0.1601315, 1.286142, 0.01669198, -0.1620109, 0.745056, -0.1959594, 0.6166393
451.6608, 0, 0, 0, 0, 0, 0, 1, 0.1409159, 1.205331, 0.006257653, -0.6401685, 0.08996242, 0.01986451, 0.7626904, -0.03670442, 1.25801, -0.1694802, -0.1818944, 0.1166968, -0.02562552, 0.9760326, 0.1597353, 1.286219, 0.01670048, -0.1626368, 0.7452359, -0.195464, 0.6164146
