condition easy, random seed 13259
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0.09999999, 0, 0, 0, 0, 0, 0, 1, 0.1840558, 0.365985, 0.1259764, -0.3373485, 0.05296922, 0.2388608, -0.9090301, 0.001594089, 1.169762, 0.1387105, -0.08735755, 2.188797E-08, 2.601772E-07, -0.996177, 0.1720569, 0.3135259, 0.190087, -0.6276539, -0.375242, -0.3538627, -0.5831169
0.15, 0, 0, 0, 0, 0, 0, 1, 0.1586355, 0.4152955, 0.2056414, -0.2879955, 0.2281924, 0.2524943, -0.8951165, 0.001594121, 1.16972, 0.1387175, -0.08737589, 3.227201E-08, 3.546546E-07, -0.9961755, 0.1207607, 0.3773823, 0.269939, -0.5479601, -0.2653615, -0.3624182, -0.7056744
0.2, 0, 0, 0, 0, 0, 0, 1, 0.1632985, 0.5383636, 0.3017711, -0.1511032, 0.3223664, 0.2862896, -0.8895426, 0.001594126, 1.16973, 0.1386975, -0.08731782, 3.310725E-08, 3.705862E-07, -0.9961805, 0.1153653, 0.5266216, 0.3693776, -0.4523299, -0.2327424, -0.2799412, -0.8141632
0.25, 0, 0, 0, 0, 0, 0, 1, 0.1633284, 0.6860234, 0.3421997, -0.03498115, 0.4173137, 0.2292206, -0.8786829, 0.001594127, 1.169726, 0.1387012, -0.08733042, 3.170711E-08, 3.727063E-07, -0.9961794, 0.1070954, 0.6939728, 0.4036876, -0.309834, -0.2175142, -0.2673443, -0.886125
0.3, 0, 0, 0, 0, 0, 0, 1, 0.1540632, 0.8043994, 0.3434309, 0.0762344, 0.4900687, 0.06210447, -0.8661201, 0.001594127, 1.169687, 0.1387492, -0.08747015, 3.260517E-08, 3.733335E-07, -0.9961672, 0.08969264, 0.8217005, 0.3940591, -0.1060602, -0.2472014, -0.3208027, -0.9081456
0.35, 0, 0, 0, 0, 0, 0, 1, 0.1713548, 0.8821015, 0.3760473, 0.2029691, 0.4288799, -0.1928677, -0.8588758, 0.001594127, 1.169675, 0.1387634, -0.08751134, 3.318507E-08, 3.735118E-07, -0.9961635, 0.1089179, 0.9037197, 0.4274319, 0.1220022, -0.396966, -0.3813314, -0.8259056
0.4, 0, 0, 0, 0, 0, 0, 1, 0.1860783, 0.9850646, 0.4193611, 0.3433474, 0.3079326, -0.4162934, -0.7835752, 0.001594127, 1.169689, 0.1387467, -0.08746223, 3.332783E-08, 3.73539E-07, -0.9961678, 0.1261145, 1.017735, 0.4677669, 0.3411542, -0.5357283, -0.3744053, -0.6755959
0.45, 0, 0, 0, 0, 0, 0, 1, 0.1410986, 1.128775, 0.402234, 0.5280678, 0.1932084, -0.5136136, -0.6480865, 0.001594127, 1.169719, 0.1387096, -0.08735352, 3.317112E-08, 3.735E-07, -0.9961774, 0.0784149, 1.177661, 0.4284436, 0.5278082, -0.607074, -0.2424237, -0.5423195
