condition medium, random seed 46318
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0, 0, 0, 0, 0, 0, 0, 1, 0.1816105, 0.3534481, 0.09694156, -0.357626, -0.00490161, 0.212916, -0.909256, 0.001594, 1.16992, 0.138642, -0.08715568, 0, 0, -0.9961947, 0.1793669, 0.296486, 0.1582309, -0.6414353, -0.4140283, -0.3659396, -0.5321932
0.09999999, 0, 0, 0, 0, 0, 0, 1, 0.1589009, 0.3613982, 0.1152268, -0.3605769, 0.1034204, 0.2132493, -0.902116, 0.001594089, 1.169777, 0.138693, -0.0873058, 2.229952E-08, 2.602827E-07, -0.9961815, 0.1399413, 0.3074977, 0.1763935, -0.6087488, -0.3394145, -0.3982864, -0.5963143
0.15, 0, 0, 0, 0, 0, 0, 1, 0.1352592, 0.3938555, 0.1685938, -0.3237642, 0.2953426, 0.1572504, -0.8849982, 0.001594121, 1.169723, 0.1387143, -0.08736768, 3.117011E-08, 3.543804E-07, -0.9961762, 0.09121242, 0.350496, 0.225038, -0.4863946, -0.2341545, -0.4633623, -0.7027712
0.2, 0, 0, 0, 0, 0, 0, 1, 0.1424775, 0.500802, 0.2763706, -0.1383608, 0.3763058, 0.07517681, -0.9130163, 0.001594126, 1.169716, 0.1387148, -0.08736819, 3.338022E-08, 3.706674E-07, -0.9961761, 0.09071384, 0.4836581, 0.3398741, -0.2996922, -0.2812093, -0.4297445, -0.804006
0.25, 0, 0, 0, 0, 0, 0, 1, 0.116658, 0.7005239, 0.3354418, 0.1489103, 0.4191535, -0.04796739, -0.894335, 0.001594127, 1.169765, 0.138654, -0.08719049, 3.313934E-08, 3.7305E-07, -0.9961917, 0.05963466, 0.7229558, 0.3924615, -0.0190499, -0.3657286, -0.331369, -0.8695254
0.3, 0, 0, 0, 0, 0, 0, 1, 0.08989223, 0.9063734, 0.2791645, 0.4424407, 0.375615, -0.103299, -0.8077679, 0.001594128, 1.169778, 0.1386367, -0.08714142, 3.17294E-08, 3.731011E-07, -0.996196, 0.0390625, 0.9652356, 0.3101109, 0.2166482, -0.4431173, -0.1391422, -0.858691
0.35, 0, 0, 0, 0, 0, 0, 1, 0.1040993, 1.012813, 0.2059859, 0.6087035, 0.2801014, -0.09010088, -0.736821, 0.001594128, 1.169727, 0.1386994, -0.08732497, 3.175812E-08, 3.732036E-07, -0.9961799, 0.0692398, 1.088258, 0.2159343, 0.3068942, -0.5045679, 0.02619332, -0.8065614
0.4, 0, 0, 0, 0, 0, 0, 1, 0.1292547, 1.050811, 0.206138, 0.6563038, 0.17492, -0.08660948, -0.7288122, 0.001594127, 1.169702, 0.1387309, -0.08741588, 3.338531E-08, 3.736015E-07, -0.9961719, 0.1079683, 1.131522, 0.2123614, 0.3057499, -0.5797512, 0.09322131, -0.7494768
0.45, 0, 0, 0, 0, 0, 0, 1, 0.1532412, 1.069732, 0.2587559, 0.649094, 0.06305776, -0.1304091, -0.7467893, 0.001594127, 1.169728, 0.1386991, -0.08732213, 3.371432E-08, 3.736491E-07, -0.9961801, 0.1406823, 1.151873, 0.2688192, 0.2901122, -0.6736801, 0.08915547, -0.6738262
