condition easy, random seed 784973
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
267.6928, -1.164796, 0.9050416, 1.370843, 0.6876776, -0.2741684, 0.5762103, 0.3462846, 0.09366989, 0.7986149, 0.2515901, -0.1489262, -0.03068764, 0.0580993, 0.986663, -0.01445079, 1.159808, -0.1259024, -0.05199155, -0.02209153, -0.01835127, 0.9982345, 0.09687786, 0.8255129, 0.330788, 0.1574892, 0.6756235, 0.247931, 0.6762103
271.7165, -1.164796, 0.9050414, 1.370844, 0.6876754, -0.2741709, 0.5762113, 0.3462851, 0.1635021, 0.7179766, 0.2538846, -0.1603257, 0.06161248, 0.06052164, 0.9832785, -0.001761436, 1.15819, -0.1319193, -0.04901323, 0.02992648, -0.02512627, 0.9980335, 0.1815189, 0.7473136, 0.3301789, 0.1754379, 0.7364525, 0.2131826, 0.617586
271.7304, -1.164796, 0.9050413, 1.370844, 0.6876725, -0.274174, 0.5762135, 0.3462848, 0.1634526, 0.7178422, 0.2539891, -0.1598487, 0.06143652, 0.06060041, 0.9833624, -0.001815081, 1.158197, -0.1318352, -0.04901334, 0.02984194, -0.02494991, 0.9980404, 0.1814444, 0.7471058, 0.3303176, 0.1756639, 0.7362744, 0.2136173, 0.617584
271.7444, -1.164796, 0.9050413, 1.370844, 0.6876724, -0.2741707, 0.5762136, 0.3462873, 0.163409, 0.7177523, 0.2540439, -0.1594889, 0.06133849, 0.0607568, 0.9834173, -0.001873732, 1.158201, -0.1317545, -0.04892373, 0.0297475, -0.02484322, 0.9980503, 0.1813843, 0.7469634, 0.3303964, 0.17578, 0.736186, 0.2139939, 0.6175258
271.7583, -1.164796, 0.9050414, 1.370844, 0.6876754, -0.2741709, 0.5762113, 0.3462851, 0.1633881, 0.7177054, 0.254077, -0.1593242, 0.06132184, 0.06073047, 0.9834467, -0.00192368, 1.158195, -0.131716, -0.04881974, 0.02966978, -0.02485224, 0.9980575, 0.1813636, 0.7468898, 0.3304396, 0.1759058, 0.7361367, 0.2140967, 0.6175132
271.7721, -1.164796, 0.9050414, 1.370844, 0.6876754, -0.2741709, 0.5762113, 0.3462851, 0.1633362, 0.717588, 0.2541602, -0.1589581, 0.06125126, 0.06078546, 0.9835069, -0.001978874, 1.15819, -0.1316928, -0.0487323, 0.02969369, -0.02475906, 0.9980634, 0.1813029, 0.7467162, 0.3305463, 0.1761009, 0.7360368, 0.214406, 0.6174694
271.7861, -1.164796, 0.9050416, 1.370843, 0.6876764, -0.2741698, 0.5762116, 0.3462836, 0.1632923, 0.7174889, 0.2542382, -0.1585876, 0.06115322, 0.06087518, 0.9835672, -0.002018929, 1.158189, -0.1316739, -0.04859893, 0.02970014, -0.02475324, 0.9980698, 0.1812449, 0.746561, 0.3306491, 0.1762683, 0.7359286, 0.2147487, 0.6174315
271.8, -1.164796, 0.9050414, 1.370843, 0.6876769, -0.2741696, 0.5762095, 0.3462861, 0.1632906, 0.7174213, 0.2542977, -0.158336, 0.06115328, 0.06087605, 0.9836077, -0.002042055, 1.15818, -0.1316233, -0.04852374, 0.02974108, -0.02463722, 0.9980752, 0.1812462, 0.7464539, 0.3307229, 0.1764403, 0.7358791, 0.2149228, 0.6173809
271.8139, -1.164796, 0.9050412, 1.370844, 0.6876728, -0.2741741, 0.5762118, 0.346287, 0.1632864, 0.7173209, 0.2544074, -0.1579831, 0.06119079, 0.06087039, 0.9836625, -0.002072573, 1.158189, -0.1315632, -0.04854906, 0.02984483, -0.02461259, 0.9980714, 0.1812524, 0.7462983, 0.3308511, 0.1766968, 0.7358302, 0.2151506, 0.6172865
271.8279, -1.164796, 0.9050414, 1.370844, 0.6876742, -0.274172, 0.5762128, 0.3462843, 0.1632365, 0.7171983, 0.2545046, -0.1575527, 0.06108964, 0.06113833, 0.9837212, -0.00209415, 1.158201, -0.1315135, -0.04855152, 0.02988185, -0.02451747, 0.9980725, 0.1811827, 0.746115, 0.3309758, 0.1767867, 0.7357549, 0.2156457, 0.6171777
271.8417, -1.164796, 0.9050414, 1.370844, 0.6876742, -0.274172, 0.5762128, 0.3462843, 0.1631782, 0.7170999, 0.2545745, -0.1572929, 0.06084736, 0.0613294, 0.9837658, -0.002103925, 1.158227, -0.1314912, -0.04856851, 0.02987908, -0.02454631, 0.9980711, 0.1810826, 0.7459798, 0.3310695, 0.1767702, 0.7356088, 0.2160209, 0.6172253
271.8557, -1.164796, 0.9050414, 1.370844, 0.6876722, -0.2741708, 0.576215, 0.3462854, 0.1631505, 0.7170285, 0.2546313, -0.1569826, 0.06072329, 0.06141014, 0.9838181, -0.002129316, 1.158262, -0.1314553, -0.04869584, 0.0299959, -0.02452562, 0.9980618, 0.1810362, 0.7458613, 0.3311484, 0.1768948, 0.7354941, 0.2163247, 0.6172198
271.8696, -1.164796, 0.9050413, 1.370844, 0.6876715, -0.2741717, 0.5762147, 0.3462865, 0.1631737, 0.7170171, 0.2546536, -0.1568573, 0.06080828, 0.06138869, 0.9838341, -0.002140999, 1.158299, -0.1314211, -0.04880006, 0.03004594, -0.02449221, 0.9980561, 0.1810751, 0.7458301, 0.3311745, 0.1770189, 0.7355144, 0.2163705, 0.617144
271.8835, -1.164796, 0.9050413, 1.370844, 0.6876746, -0.2741719, 0.576211, 0.3462866, 0.1632295, 0.7170366, 0.2546809, -0.1567414, 0.06093969, 0.06120654, 0.9838558, -0.002170444, 1.158332, -0.131386, -0.04883882, 0.03014406, -0.0243562, 0.9980546, 0.1811592, 0.7458271, 0.3312036, 0.1772556, 0.7355221, 0.2162955, 0.6170933
271.8975, -1.164796, 0.9050415, 1.370844, 0.687673, -0.2741699, 0.5762152, 0.3462841, 0.1632563, 0.7171637, 0.254709, -0.1567341, 0.06118467, 0.06122835, 0.9838405, -0.00219667, 1.158375, -0.1313474, -0.04883508, 0.03015562, -0.02420869, 0.998058, 0.1812246, 0.745955, 0.3312224, 0.1773154, 0.7356727, 0.2162351, 0.6169177
271.9113, -1.164796, 0.9050414, 1.370843, 0.6876763, -0.2741734, 0.5762103, 0.3462831, 0.1626096, 0.7179269, 0.2547061, -0.1574485, 0.06135866, 0.06290997, 0.9836094, -0.002200365, 1.158373, -0.1312932, -0.04891018, 0.03012512, -0.02406791, 0.9980587, 0.1805425, 0.7468776, 0.3311677, 0.1757641, 0.73636, 0.2167266, 0.6163689
271.9253, -1.164796, 0.9050416, 1.370843, 0.6876779, -0.2741684, 0.57621, 0.3462845, 0.1602669, 0.7194436, 0.2542567, -0.1602462, 0.05817981, 0.06979379, 0.9828861, -0.002185822, 1.158377, -0.1312495, -0.0487852, 0.03005053, -0.02398416, 0.998069, 0.1774292, 0.7490001, 0.3306633, 0.1683899, 0.7367979, 0.2200655, 0.6167211
271.9393, -1.164796, 0.9050414, 1.370844, 0.6876741, -0.2741719, 0.5762129, 0.3462844, 0.157654, 0.7211521, 0.2533062, -0.165993, 0.05323279, 0.07706883, 0.9816685, -0.002166152, 1.158338, -0.1312149, -0.04837557, 0.03020703, -0.02416283, 0.9980799, 0.1736986, 0.751761, 0.3295411, 0.1582029, 0.7367983, 0.2221494, 0.6186678
271.9531, -1.164796, 0.9050416, 1.370843, 0.6876763, -0.2741698, 0.5762117, 0.3462837, 0.1549579, 0.7230216, 0.2522051, -0.1734302, 0.04777594, 0.08453555, 0.9800476, -0.002096176, 1.15827, -0.131193, -0.04753533, 0.03063426, -0.02466041, 0.9980951, 0.1697542, 0.7549283, 0.32816, 0.1465397, 0.7367822, 0.2233044, 0.6211388
271.9671, -1.164796, 0.9050413, 1.370844, 0.6876745, -0.2741719, 0.5762111, 0.3462866, 0.1524185, 0.7246011, 0.2513865, -0.181293, 0.04417225, 0.09444885, 0.977886, -0.001965523, 1.158174, -0.1312025, -0.04680663, 0.03126116, -0.02511108, 0.9980989, 0.1661441, 0.7579251, 0.3269327, 0.1334307, 0.73847, 0.2250218, 0.621469
271.981, -1.164796, 0.9050414, 1.370844, 0.6876753, -0.2741709, 0.5762115, 0.3462852, 0.1503645, 0.7258506, 0.2506664, -0.1875472, 0.04071167, 0.1010963, 0.9761906, -0.001805544, 1.158035, -0.1312298, -0.04598986, 0.03209526, -0.02548417, 0.9981009, 0.1631715, 0.7602503, 0.325891, 0.1236256, 0.739074, 0.2257861, 0.6225007
271.9949, -1.164796, 0.9050415, 1.370844, 0.6876727, -0.2741699, 0.5762155, 0.3462843, 0.1485326, 0.7265792, 0.250208, -0.191691, 0.03709372, 0.1042712, 0.9751955, -0.001616955, 1.157838, -0.1312807, -0.04509149, 0.03326578, -0.02607227, 0.9980884, 0.1605604, 0.7616408, 0.3252554, 0.1175572, 0.7383394, 0.2259488, 0.6244859
272.0088, -1.164796, 0.9050415, 1.370844, 0.6876718, -0.2741708, 0.5762165, 0.3462837, 0.1470139, 0.7267019, 0.2499835, -0.1940332, 0.03439847, 0.107438, 0.974487, -0.001383781, 1.157541, -0.1313963, -0.04381103, 0.03476705, -0.02683321, 0.9980741, 0.1584402, 0.7621551, 0.3249409, 0.1130073, 0.7378318, 0.2270685, 0.6255187
272.0227, -1.164796, 0.9050414, 1.370843, 0.6876763, -0.2741696, 0.5762103, 0.3462861, 0.1459863, 0.7263468, 0.250103, -0.1942096, 0.03288782, 0.1098465, 0.9742355, -0.000900507, 1.156976, -0.1316168, -0.04212011, 0.03641417, -0.02786972, 0.9980597, 0.1570707, 0.7618565, 0.325085, 0.1108192, 0.7374904, 0.2288725, 0.6256554
272.0367, -1.164796, 0.9050414, 1.370844, 0.6876728, -0.2741728, 0.5762144, 0.3462838, 0.1457833, 0.7256638, 0.2504835, -0.1916706, 0.03169602, 0.1084096, 0.9749385, -0.0005531311, 1.156625, -0.1315966, -0.04010176, 0.03869139, -0.02863545, 0.9980355, 0.1567836, 0.7607396, 0.3256818, 0.1132132, 0.7359816, 0.2301577, 0.6265312
272.0506, -1.164796, 0.9050414, 1.370844, 0.6876704, -0.2741699, 0.5762172, 0.3462863, 0.1463572, 0.7248738, 0.2511283, -0.186194, 0.03230461, 0.1043931, 0.9764171, -0.0001747608, 1.156176, -0.1316215, -0.03824807, 0.04102548, -0.02905238, 0.9980029, 0.1577156, 0.7590334, 0.3266942, 0.1199109, 0.7344519, 0.2313705, 0.6266336
272.0645, -1.164796, 0.9050416, 1.370844, 0.6876755, -0.2741676, 0.5762125, 0.3462855, 0.1474026, 0.7247347, 0.2513072, -0.1830364, 0.03455656, 0.1010179, 0.9772916, 0.0002361536, 1.155713, -0.1316353, -0.03605738, 0.043384, -0.02938385, 0.9979751, 0.1593092, 0.7583644, 0.3270263, 0.1250311, 0.7344747, 0.2308251, 0.6258067
272.0785, -1.164796, 0.9050413, 1.370844, 0.6876754, -0.2741707, 0.5762099, 0.3462876, 0.1483551, 0.7254604, 0.2512041, -0.183135, 0.03705163, 0.09985097, 0.9773017, 0.0006357431, 1.155236, -0.1316046, -0.03365575, 0.04598973, -0.02963189, 0.997935, 0.1607042, 0.75911, 0.3268434, 0.126471, 0.7357477, 0.2292651, 0.6245943
272.0923, -1.164796, 0.9050414, 1.370844, 0.6876752, -0.2741708, 0.5762115, 0.3462852, 0.1501406, 0.727101, 0.2510289, -0.1840258, 0.04224672, 0.09779962, 0.977131, 0.001018524, 1.154723, -0.1315807, -0.03116979, 0.0485807, -0.02965225, 0.9978923, 0.1633835, 0.7609023, 0.3264491, 0.1287314, 0.7385964, 0.2257611, 0.6220415
272.1062, -1.164796, 0.9050413, 1.370844, 0.6876732, -0.2741729, 0.5762126, 0.3462858, 0.1515958, 0.7291336, 0.2507571, -0.1868376, 0.04680127, 0.09637056, 0.9765317, 0.001369119, 1.154206, -0.1314464, -0.02838495, 0.0512355, -0.0294778, 0.9978479, 0.1655713, 0.7633851, 0.3258412, 0.1290454, 0.741529, 0.2214867, 0.6200209
272.1202, -1.164796, 0.9050414, 1.370843, 0.6876762, -0.2741697, 0.5762104, 0.3462862, 0.152925, 0.7315308, 0.2505046, -0.1885097, 0.05072533, 0.09449673, 0.9761975, 0.001834512, 1.153616, -0.1313726, -0.02558417, 0.05367684, -0.02944935, 0.9977961, 0.1675693, 0.7660361, 0.3253446, 0.1302617, 0.7437517, 0.2179306, 0.6183622
272.1342, -1.164796, 0.9050415, 1.370844, 0.687674, -0.2741688, 0.5762141, 0.3462848, 0.1541245, 0.7344967, 0.2500136, -0.1907082, 0.05479477, 0.09356774, 0.9756398, 0.002251863, 1.153074, -0.1311799, -0.02265768, 0.05619675, -0.02945815, 0.9977278, 0.169414, 0.7693576, 0.3245592, 0.1305125, 0.7463685, 0.2145277, 0.6163428
272.148, -1.164796, 0.9050415, 1.370844, 0.6876729, -0.27417, 0.5762154, 0.3462842, 0.1552153, 0.738707, 0.2490938, -0.1953304, 0.05951856, 0.09350327, 0.9744541, 0.002664685, 1.152454, -0.1309432, -0.01960949, 0.05847572, -0.02920448, 0.9976689, 0.1711755, 0.7743191, 0.3231421, 0.1286709, 0.7499914, 0.2097344, 0.6139776
272.162, -1.164796, 0.9050413, 1.370843, 0.6876757, -0.2741708, 0.5762095, 0.3462876, 0.1558286, 0.744061, 0.247826, -0.2016525, 0.06210428, 0.0928115, 0.9730701, 0.003041506, 1.151934, -0.13062, -0.01663369, 0.06070109, -0.02903421, 0.997595, 0.1721142, 0.780642, 0.3213291, 0.1254441, 0.7524462, 0.204039, 0.6135607
272.1759, -1.164796, 0.9050413, 1.370844, 0.6876743, -0.2741719, 0.5762112, 0.3462866, 0.1563801, 0.7497762, 0.2464992, -0.209264, 0.06516913, 0.09204893, 0.9713334, 0.00346899, 1.151487, -0.1302963, -0.01425758, 0.062644, -0.0288011, 0.9975184, 0.1730459, 0.787517, 0.3193276, 0.1214782, 0.7553471, 0.1972203, 0.6130239
272.1898, -1.164796, 0.9050416, 1.370843, 0.6876761, -0.2741698, 0.5762119, 0.3462837, 0.1559136, 0.7569789, 0.2448936, -0.2168797, 0.06616712, 0.09316353, 0.9694874, 0.003906012, 1.15117, -0.1299049, -0.0125334, 0.06436977, -0.02872644, 0.9974338, 0.1725516, 0.7959027, 0.317103, 0.1156504, 0.7574301, 0.1921886, 0.6131787
272.2037, -1.164796, 0.9050413, 1.370844, 0.6876714, -0.2741716, 0.5762148, 0.3462866, 0.1551768, 0.7648498, 0.2430018, -0.2263089, 0.06565817, 0.09507328, 0.9671786, 0.004264474, 1.150865, -0.1294347, -0.01140345, 0.06584433, -0.02838644, 0.9973609, 0.171477, 0.8052266, 0.3144869, 0.1075627, 0.7590431, 0.186818, 0.6143151
272.2178, -1.164796, 0.9050414, 1.370844, 0.6876732, -0.2741698, 0.576214, 0.3462862, 0.1545219, 0.7747058, 0.2405713, -0.2386753, 0.06440616, 0.09528238, 0.9642651, 0.004660368, 1.150571, -0.1289936, -0.01052283, 0.06699377, -0.02840094, 0.9972936, 0.1703871, 0.8169066, 0.3110942, 0.09828648, 0.7601638, 0.1785228, 0.6169444
272.2316, -1.164796, 0.9050416, 1.370843, 0.6876761, -0.2741698, 0.5762119, 0.3462838, 0.1542456, 0.7855767, 0.2380641, -0.2527851, 0.06468087, 0.09365302, 0.9608045, 0.004986286, 1.150375, -0.1285133, -0.009512869, 0.0680084, -0.028631, 0.9972285, 0.169971, 0.8298014, 0.3073677, 0.08937193, 0.7618749, 0.1673105, 0.6193277
272.2455, -1.164796, 0.9050413, 1.370844, 0.6876732, -0.2741729, 0.5762127, 0.3462858, 0.1540396, 0.796796, 0.2356892, -0.2671567, 0.06627693, 0.09207477, 0.9569519, 0.005310059, 1.150082, -0.1281831, -0.008547752, 0.0687459, -0.02876204, 0.9971829, 0.1698272, 0.8430643, 0.303631, 0.08053693, 0.764271, 0.1554445, 0.6206776
272.2594, -1.164796, 0.9050413, 1.370843, 0.6876757, -0.2741708, 0.5762097, 0.3462876, 0.1536778, 0.8078091, 0.2335641, -0.2808617, 0.06671716, 0.09010687, 0.953177, 0.005649447, 1.149792, -0.1279285, -0.007430255, 0.06933047, -0.02894085, 0.9971462, 0.1693855, 0.8559778, 0.300191, 0.07205224, 0.7656615, 0.1441312, 0.6227338
272.2733, -1.164795, 0.9050417, 1.370844, 0.6876765, -0.2741664, 0.5762127, 0.3462841, 0.1539831, 0.8183771, 0.2323626, -0.2905425, 0.06780357, 0.08564388, 0.9506066, 0.005924463, 1.149538, -0.127712, -0.006020415, 0.06978197, -0.02933166, 0.9971128, 0.1699286, 0.8677977, 0.298009, 0.06829208, 0.7662686, 0.1339751, 0.6246755
272.2874, -1.164796, 0.9050415, 1.370844, 0.687674, -0.2741688, 0.5762141, 0.3462849, 0.1544456, 0.8287451, 0.2317357, -0.2978969, 0.0694807, 0.07994217, 0.9487039, 0.006146431, 1.149285, -0.1275712, -0.004649343, 0.0699598, -0.02954965, 0.9971012, 0.1708408, 0.8790498, 0.296595, 0.06718934, 0.7666047, 0.1245434, 0.626332
272.3011, -1.164796, 0.9050414, 1.370844, 0.6876739, -0.2741719, 0.5762131, 0.3462844, 0.154722, 0.8388478, 0.2313523, -0.3054235, 0.07121053, 0.0744346, 0.9466283, 0.006344318, 1.149108, -0.1274356, -0.0035003, 0.07025697, -0.02976303, 0.9970787, 0.171571, 0.8900518, 0.2953863, 0.06581585, 0.766974, 0.1150571, 0.6278384
