condition medium, random seed 545048
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
421.0665, 0, 0, 0, 0, 0, 0, 1, 0.03432071, 0.7635332, 0.353148, -0.01258311, -0.01534563, 0.008214339, 0.9997693, -0.001141787, 1.078541, -0.09040594, 0.08526668, 0.02562826, 0.002075752, 0.9960263, 0.04165712, 0.7673971, 0.4364387, 0.2849767, 0.6376387, 0.302868, 0.6484413
425.0895, 0, 0, 0, 0, 0, 0, 1, 0.1628258, 0.863094, 0.1516337, -0.4518753, 0.1248948, -0.1224423, 0.8747673, 0.008494735, 1.075077, -0.08866966, 0.1038402, 0.1125398, -0.001953642, 0.9882046, 0.1996702, 0.9239093, 0.1957935, 0.09311631, 0.7395641, -0.1422551, 0.6512588
425.1037, 0, 0, 0, 0, 0, 0, 1, 0.1628084, 0.8631521, 0.1516497, -0.4518339, 0.1248858, -0.1226131, 0.8747661, 0.00851357, 1.075066, -0.08868706, 0.1038069, 0.1126298, -0.001895936, 0.9881979, 0.1996632, 0.9239553, 0.1958177, 0.09324908, 0.7394933, -0.142335, 0.6513028
425.1176, 0, 0, 0, 0, 0, 0, 1, 0.1627225, 0.8632354, 0.151664, -0.4517552, 0.1247611, -0.1227833, 0.8748007, 0.008523464, 1.075061, -0.08869731, 0.1037374, 0.1126855, -0.001758733, 0.9881991, 0.1995715, 0.924027, 0.1958525, 0.09338138, 0.7393607, -0.1423448, 0.6514321
425.1313, 0, 0, 0, 0, 0, 0, 1, 0.1625435, 0.8633346, 0.1516546, -0.4518352, 0.1243215, -0.1228839, 0.8748078, 0.008519769, 1.075065, -0.08865452, 0.1037458, 0.1127792, -0.001637962, 0.9881877, 0.1993406, 0.924147, 0.1958579, 0.09326467, 0.7390787, -0.1423249, 0.6517732
425.1453, 0, 0, 0, 0, 0, 0, 1, 0.1623884, 0.8634104, 0.1516167, -0.4519969, 0.1241552, -0.1227163, 0.8747714, 0.008533597, 1.075093, -0.08860159, 0.1036816, 0.1128182, -0.001412675, 0.9881904, 0.1991526, 0.9242541, 0.1958042, 0.09299299, 0.7390487, -0.1422824, 0.6518551
425.1592, 0, 0, 0, 0, 0, 0, 1, 0.162207, 0.8634842, 0.1515342, -0.4523529, 0.1241348, -0.1224011, 0.8746345, 0.008546472, 1.07516, -0.08853304, 0.1034842, 0.1127598, -0.001092636, 0.9882181, 0.1989495, 0.9243807, 0.1956671, 0.09251636, 0.7391506, -0.1423447, 0.6517938
425.1732, 0, 0, 0, 0, 0, 0, 1, 0.1619523, 0.8635283, 0.1514506, -0.4527696, 0.1237564, -0.1221809, 0.8745032, 0.008526921, 1.075156, -0.08844423, 0.103424, 0.1128716, -0.001231405, 0.9882115, 0.1986316, 0.9244931, 0.1955416, 0.09195584, 0.7390174, -0.1423966, 0.6520128
425.1872, 0, 0, 0, 0, 0, 0, 1, 0.1617707, 0.86353, 0.1514479, -0.4528306, 0.1232904, -0.1222127, 0.874533, 0.008489251, 1.075141, -0.08837891, 0.1034315, 0.1128774, -0.00155857, 0.9882096, 0.1983895, 0.924518, 0.1955572, 0.09180599, 0.7387483, -0.1423058, 0.6523587
425.201, 0, 0, 0, 0, 0, 0, 1, 0.1615858, 0.8634951, 0.1514767, -0.4527248, 0.1229139, -0.1221973, 0.874643, 0.008470774, 1.075115, -0.08833575, 0.1034997, 0.1128282, -0.001564051, 0.9882081, 0.1981513, 0.9244879, 0.1956236, 0.09178355, 0.7385517, -0.142081, 0.6526335
