644.5571, target_miss, target ID 42, grid ID 8
644.8316, target_spawn, target ID 44, grid ID 1
645.0571, target_miss, target ID 43, grid ID 2
645.2632, target_spawn, target ID 45, grid ID 3
645.3286, target_contact, target ID 44, grid ID 1, velocity 0.1965394 0.4771054 0.6837597
645.472, target_spawn, target ID 46, grid ID 0
645.8143, target_hit, target ID 45, grid ID 3, velocity -0.1244618 -0.3272245 1.13337
645.9286, target_miss, target ID 44, grid ID 1
646.1401, target_spawn, target ID 47, grid ID 4
646.4466, target_spawn, target ID 48, grid ID 8
646.5714, target_miss, target ID 46, grid ID 0
646.5714, target_hit, target ID 47, grid ID 4, velocity 0.1000774 0.04616371 0.9171829
646.8921, target_spawn, target ID 49, grid ID 2
647.0286, target_hit, target ID 48, grid ID 8, velocity -0.1283617 -0.5365105 1.20541
647.3793, target_spawn, target ID 50, grid ID 6
647.5327, target_spawn, target ID 51, grid ID 1
647.9, target_hit, target ID 50, grid ID 6, velocity -0.0433342 -0.4609902 1.614614
647.9857, target_miss, target ID 49, grid ID 2
648.1714, target_contact, target ID 51, grid ID 1, velocity 0.4699251 0.3761936 0.6324635
648.2148, target_spawn, target ID 52, grid ID 4
648.2286, target_contact, target ID 51, grid ID 1, velocity -0.05522972 -0.2569302 -0.3623327
648.5352, target_spawn, target ID 53, grid ID 8
648.6286, target_miss, target ID 51, grid ID 1
648.6714, target_hit, target ID 52, grid ID 4, velocity -0.2824911 -0.7948008 1.575178
648.9528, target_spawn, target ID 54, grid ID 6
649.2, target_hit, target ID 53, grid ID 8, velocity -0.4233284 -1.030675 1.082031
649.3984, target_spawn, target ID 55, grid ID 3
649.8857, target_contact, target ID 55, grid ID 3, velocity -0.08590253 0.001301974 0.7891929
649.8994, target_spawn, target ID 56, grid ID 0
649.9286, target_contact, target ID 54, grid ID 6, velocity -0.6940811 -0.8648739 -0.3235821
650.0428, target_miss, target ID 54, grid ID 6
650.3589, target_spawn, target ID 57, grid ID 1
650.4857, target_miss, target ID 55, grid ID 3
650.804, target_spawn, target ID 58, grid ID 3
650.8286, target_hit, target ID 57, grid ID 1, velocity 0.08156081 -0.2756239 1.194176
650.9857, target_miss, target ID 56, grid ID 0
651.1521, target_spawn, target ID 59, grid ID 1
651.4143, target_hit, target ID 58, grid ID 3, velocity -0.1062854 -0.1411507 1.556553
651.5286, target_spawn, target ID 60, grid ID 4
651.7372, target_spawn, target ID 61, grid ID 2
651.9572, target_hit, target ID 60, grid ID 4, velocity -0.3293449 -0.6147041 1.145794
652.2429, target_miss, target ID 59, grid ID 1
652.2804, target_spawn, target ID 62, grid ID 5
652.3715, target_hit, target ID 61, grid ID 2, velocity 0.2290269 0.1939195 0.8101962
652.4143, target_contact, target ID 62, grid ID 5, velocity -0.3466816 -0.366702 0.2918024
652.698, target_spawn, target ID 63, grid ID 7
652.7286, target_hit, target ID 62, grid ID 5, velocity -0.1593488 -0.4622781 1.034799
653.1158, target_spawn, target ID 64, grid ID 8
653.1572, target_hit, target ID 63, grid ID 7, velocity -0.1488709 -0.8849243 1.151374
653.4084, target_spawn, target ID 65, grid ID 6
653.5143, target_contact, target ID 64, grid ID 8, velocity -0.2232586 -0.5246472 0.6824214
653.7982, target_spawn, target ID 66, grid ID 0
653.9857, target_contact, target ID 65, grid ID 6, velocity 0.007245824 -0.3292389 0.5364107
654.2143, target_miss, target ID 64, grid ID 8
654.5, target_miss, target ID 65, grid ID 6
654.5361, target_spawn, target ID 67, grid ID 3
654.8561, target_spawn, target ID 68, grid ID 7
654.8857, target_miss, target ID 66, grid ID 0
655.246, target_spawn, target ID 69, grid ID 1
655.4572, target_hit, target ID 68, grid ID 7, velocity -0.1423965 -1.009251 1.861044
655.6286, target_miss, target ID 67, grid ID 3
655.7753, target_spawn, target ID 70, grid ID 2
655.9563, target_spawn, target ID 71, grid ID 5
656.3428, target_miss, target ID 69, grid ID 1
656.6664, target_spawn, target ID 72, grid ID 1
656.8715, target_miss, target ID 70, grid ID 2
657.0428, target_miss, target ID 71, grid ID 5
657.1, target_hit, target ID 72, grid ID 1, velocity -0.5303277 0.1586008 0.8682092
657.1956, target_spawn, target ID 73, grid ID 3
657.5994, target_spawn, target ID 74, grid ID 1
657.8499, target_spawn, target ID 75, grid ID 0
658.2857, target_miss, target ID 73, grid ID 3
658.6017, target_spawn, target ID 76, grid ID 2
658.6857, target_miss, target ID 74, grid ID 1
658.9429, target_miss, target ID 75, grid ID 0
659.0055, target_spawn, target ID 77, grid ID 6
659.3676, target_spawn, target ID 78, grid ID 7
659.7, target_miss, target ID 76, grid ID 2
659.8, target_hit, target ID 78, grid ID 7, velocity 0.0312098 -0.7323948 1.665274
660.022, target_spawn, target ID 79, grid ID 4
660.1, target_miss, target ID 77, grid ID 6
660.3146, target_spawn, target ID 80, grid ID 1
660.4286, target_hit, target ID 79, grid ID 4, velocity -0.2637434 -0.233492 1.142099
660.5652, target_spawn, target ID 81, grid ID 7
660.9829, target_spawn, target ID 82, grid ID 6
661.0143, target_hit, target ID 81, grid ID 7, velocity -0.561848 -1.353262 1.558158
661.3311, target_spawn, target ID 83, grid ID 0
661.4143, target_miss, target ID 80, grid ID 1
661.5, target_hit, target ID 82, grid ID 6, velocity 0.125945 -0.9159961 1.08146
661.7348, target_spawn, target ID 84, grid ID 3
662.1108, target_spawn, target ID 85, grid ID 8
662.4286, target_miss, target ID 83, grid ID 0
662.7286, target_hit, target ID 85, grid ID 8, velocity -0.3105445 -0.5178199 0.8621966
662.7514, target_spawn, target ID 86, grid ID 0
662.8286, target_miss, target ID 84, grid ID 3
663.1688, target_spawn, target ID 87, grid ID 2
663.4194, target_spawn, target ID 88, grid ID 5
663.6286, target_contact, target ID 87, grid ID 2, velocity 0.2252219 0.1818572 0.5491878
663.8428, target_miss, target ID 86, grid ID 0
663.9572, target_hit, target ID 88, grid ID 5, velocity -0.2999067 -0.534874 1.075107
664.1575, target_spawn, target ID 89, grid ID 8
664.2571, target_miss, target ID 87, grid ID 2
664.5753, target_spawn, target ID 90, grid ID 7
664.6572, target_hit, target ID 89, grid ID 8, velocity -0.5035316 -0.683812 0.875088
664.8817, target_spawn, target ID 91, grid ID 4
665, target_hit, target ID 91, grid ID 4, velocity -0.09189795 -0.4425623 0.8292183
665.0143, target_hit, target ID 90, grid ID 7, velocity -0.1503152 -0.6521087 0.9329909
665.0346, target_spawn, target ID 92, grid ID 5
665.3272, target_spawn, target ID 93, grid ID 4
665.4246, target_spawn, target ID 94, grid ID 7
665.7714, target_contact, target ID 93, grid ID 4, velocity -0.2794259 -0.2820793 0.7409712
665.8, target_contact, target ID 94, grid ID 7, velocity -0.7642623 -0.783845 0.2038304
666.0714, target_hit, target ID 93, grid ID 4, velocity 0.004000977 -0.744213 1.241382
666.0857, target_hit, target ID 94, grid ID 7, velocity -0.3111947 -1.188642 1.255648
666.1286, target_miss, target ID 92, grid ID 5
666.3854, target_spawn, target ID 95, grid ID 3
666.8867, target_spawn, target ID 96, grid ID 0
666.9429, target_hit, target ID 95, grid ID 3, velocity -0.3692537 -0.4858404 1.5237
667.0399, target_spawn, target ID 97, grid ID 6
667.3738, target_spawn, target ID 98, grid ID 3
667.7571, target_hit, target ID 97, grid ID 6, velocity -0.2062284 -1.303375 1.401158
667.9857, target_miss, target ID 96, grid ID 0
668.0286, target_contact, target ID 98, grid ID 3, velocity 0.0839705 0.05794634 0.7247438
668.084, target_spawn, target ID 99, grid ID 4
668.0857, target_contact, target ID 98, grid ID 3, velocity -0.3776702 -0.3053306 -0.6944187
668.3068, target_spawn, target ID 100, grid ID 5
668.4, target_hit, target ID 99, grid ID 4, velocity 0.1913686 -0.2653923 1.111115
668.4714, target_miss, target ID 98, grid ID 3
668.7245, target_spawn, target ID 101, grid ID 2
668.7857, target_hit, target ID 100, grid ID 5, velocity -0.1478137 -0.2805166 0.9002504
669.0728, target_spawn, target ID 102, grid ID 1
669.142, target_spawn, target ID 103, grid ID 6
669.5286, target_hit, target ID 102, grid ID 1, velocity 0.2450165 0.3785994 0.9276934
669.8143, target_miss, target ID 101, grid ID 2
