condition easy, random seed 306638
timestamp, left_pos_x, left_pos_y, left_pos_z, left_quat_x, left_quat_y, left_quat_z, left_quat_w, right_pos_x, right_pos_y, right_pos_z, right_quat_x, right_quat_y, right_quat_z, right_quat_w, head_pos_x, head_pos_y, head_pos_z, head_quat_x, head_quat_y, head_quat_z, head_quat_w, marker_pos_x, marker_pos_y, marker_pos_z, marker_quat_x, marker_quat_y, marker_quat_z, marker_quat_w
351.2397, 0, 0, 0, 0, 0, 0, 1, 0.08073686, 0.7681988, 0.263225, -0.01547559, -0.02442632, -0.06457585, 0.9974938, 0.01340257, 1.177966, 0.01075669, 0.0006083585, 0.0147805, -0.02585308, 0.9995563, 0.08690534, 0.7713674, 0.3466397, 0.3263889, 0.6092101, 0.2566819, 0.6756092
355.2632, 0, 0, 0, 0, 0, 0, 1, 0.08924925, 0.8851849, 0.307698, -0.4265936, -0.02774768, 0.06187824, 0.9018975, 0.01758966, 1.178801, -0.008251719, 0.04269195, 0.07682026, -0.03113478, 0.9956439, 0.09040426, 0.951207, 0.3591359, -0.0467167, 0.7078947, 0.04585883, 0.7032778
355.2772, 0, 0, 0, 0, 0, 0, 1, 0.08935666, 0.8852087, 0.3075367, -0.4264039, -0.02736847, 0.06264719, 0.9019457, 0.01772366, 1.178794, -0.008182403, 0.04234257, 0.07707634, -0.03094502, 0.9956449, 0.09051144, 0.9512169, 0.3589923, -0.04696016, 0.7083432, 0.04637024, 0.7027763
355.2911, 0, 0, 0, 0, 0, 0, 1, 0.08941747, 0.8852662, 0.3073189, -0.4264746, -0.02700969, 0.06352258, 0.9018618, 0.01784773, 1.178799, -0.008131668, 0.0421224, 0.07727158, -0.03107044, 0.9956352, 0.09055877, 0.9512908, 0.3587537, -0.04748395, 0.7088047, 0.04674894, 0.7022506
355.3049, 0, 0, 0, 0, 0, 0, 1, 0.0896627, 0.8854848, 0.3068067, -0.4268688, -0.02615018, 0.06521264, 0.90158, 0.01795407, 1.178796, -0.008055169, 0.04183788, 0.0777591, -0.03128978, 0.9956024, 0.09080052, 0.9515713, 0.3581621, -0.0486456, 0.7098024, 0.04722816, 0.7011303
355.3187, 0, 0, 0, 0, 0, 0, 1, 0.08996202, 0.8857949, 0.3061788, -0.427817, -0.02529566, 0.06707694, 0.901018, 0.01808363, 1.178792, -0.007992182, 0.04191566, 0.07814599, -0.03189697, 0.9955496, 0.09107693, 0.9520074, 0.3573722, -0.05035846, 0.7108371, 0.04738024, 0.69995
355.3327, 0, 0, 0, 0, 0, 0, 1, 0.09018104, 0.8860198, 0.3057169, -0.4284286, -0.0249518, 0.0689581, 0.9005949, 0.0182177, 1.17876, -0.007899962, 0.04207117, 0.07857094, -0.0323021, 0.9954965, 0.09119783, 0.9523177, 0.3568017, -0.05197927, 0.711539, 0.0479556, 0.6990786
355.3467, 0, 0, 0, 0, 0, 0, 1, 0.09034081, 0.8861675, 0.3055088, -0.4282301, -0.02461624, 0.0708219, 0.9005539, 0.01835516, 1.17868, -0.007844977, 0.0424243, 0.07905351, -0.03219534, 0.9954467, 0.09126684, 0.9524591, 0.3566035, -0.05295946, 0.7122315, 0.04915684, 0.6982159
355.3606, 0, 0, 0, 0, 0, 0, 1, 0.090565, 0.8863187, 0.3055578, -0.427013, -0.02378199, 0.07201774, 0.9010593, 0.01852635, 1.178576, -0.007829454, 0.04268182, 0.07951323, -0.03216581, 0.9954001, 0.09153588, 0.9524863, 0.3568121, -0.05254619, 0.7130831, 0.05059904, 0.6972741
355.3745, 0, 0, 0, 0, 0, 0, 1, 0.09075251, 0.8865887, 0.3054793, -0.4263064, -0.02348092, 0.07084955, 0.9014943, 0.01867957, 1.178466, -0.007854905, 0.04305043, 0.08004177, -0.03224509, 0.9953393, 0.09186446, 0.9526688, 0.3568435, -0.05112419, 0.7129872, 0.05034736, 0.6974961
